budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
3888,0,3888,1.0,0.0,exhaustive,3888,3888,1.0,0.0351,S2,,0,sensing
26,0,26,1.0,0.0,HCA-DSE,26,26,1.0,0.0119,S2,,0,sensing
100,76,100,0.0471,0.48611,random,100,141,0.0625,0.001,S2,0,41,sensing
100,62,100,0.475,0.29408,nsga2,100,139,0.0,0.0192,S2,0,39,sensing
100,74,100,0.6787,0.24142,random,100,160,0.0,0.0011,S2,1,60,sensing
100,53,100,0.5474,0.20972,nsga2,100,135,0.0625,0.0148,S2,1,35,sensing
100,72,100,0.7121,0.19429,random,100,156,0.125,0.0011,S2,2,56,sensing
100,57,100,0.5573,0.19369,nsga2,100,139,0.0,0.015,S2,2,39,sensing
100,77,100,0.175,0.23856,random,100,155,0.0625,0.0011,S2,3,55,sensing
100,75,100,0.2432,0.38222,nsga2,100,128,0.0,0.0137,S2,3,28,sensing
100,79,100,0.0926,0.40584,random,100,138,0.0,0.001,S2,4,38,sensing
100,50,100,0.031,0.64248,nsga2,100,127,0.0,0.013,S2,4,27,sensing
100,85,100,0.7386,0.1169,random,100,145,0.0625,0.001,S2,5,45,sensing
100,57,100,0.489,0.13372,nsga2,100,144,0.125,0.0152,S2,5,44,sensing
100,76,100,0.7163,0.23089,random,100,151,0.0,0.0011,S2,6,51,sensing
100,66,100,0.4859,0.28001,nsga2,100,142,0.0,0.0155,S2,6,42,sensing
100,77,100,0.2796,0.3826,random,100,147,0.0,0.001,S2,7,47,sensing
100,52,100,0.6468,0.09489,nsga2,100,135,0.1875,0.0129,S2,7,35,sensing
100,75,100,0.6746,0.13313,random,100,139,0.0625,0.0011,S2,8,39,sensing
100,54,100,0.8302,0.16911,nsga2,100,137,0.125,0.0169,S2,8,37,sensing
100,77,100,0.2268,0.30549,random,100,145,0.0625,0.001,S2,9,45,sensing
100,42,100,0.1364,0.47129,nsga2,100,130,0.0,0.014,S2,9,30,sensing
100,81,100,0.443,0.3093,random,100,160,0.0,0.0011,S2,10,60,sensing
100,58,100,0.4452,0.35448,nsga2,100,121,0.0,0.0109,S2,10,21,sensing
100,72,100,0.3421,0.38069,random,100,162,0.0,0.0011,S2,11,62,sensing
100,70,100,0.0147,0.73699,nsga2,100,122,0.0,0.0118,S2,11,22,sensing
100,76,100,0.3963,0.27603,random,100,147,0.0,0.001,S2,12,47,sensing
100,64,100,0.07,0.38045,nsga2,100,146,0.0,0.0159,S2,12,46,sensing
100,77,100,0.5454,0.27648,random,100,158,0.0,0.001,S2,13,58,sensing
100,56,100,0.5216,0.24101,nsga2,100,133,0.0,0.0126,S2,13,33,sensing
100,76,100,0.5432,0.14873,random,100,159,0.125,0.0011,S2,14,59,sensing
100,70,100,0.0146,0.64093,nsga2,100,128,0.125,0.0122,S2,14,28,sensing
100,75,100,0.4945,0.24968,random,100,146,0.0,0.0011,S2,15,46,sensing
100,69,100,0.034,0.5459,nsga2,100,157,0.0,0.0168,S2,15,57,sensing
100,78,100,0.8366,0.17944,random,100,154,0.125,0.0011,S2,16,54,sensing
100,60,100,0.0513,0.55825,nsga2,100,124,0.0,0.0127,S2,16,24,sensing
100,78,100,0.0436,0.46859,random,100,147,0.0,0.0011,S2,17,47,sensing
100,53,100,0.3984,0.34201,nsga2,100,115,0.0,0.0102,S2,17,15,sensing
100,73,100,0.7316,0.20796,random,100,141,0.0,0.0011,S2,18,41,sensing
100,62,100,0.0651,0.51107,nsga2,100,138,0.0625,0.0142,S2,18,38,sensing
100,73,100,0.3323,0.42123,random,100,147,0.0,0.0011,S2,19,47,sensing
100,61,100,0.4101,0.2462,nsga2,100,124,0.0625,0.011,S2,19,24,sensing
250,180,250,0.8442,0.11135,random,250,352,0.125,0.0027,S2,0,102,sensing
250,99,250,0.8364,0.07123,nsga2,250,311,0.1875,0.0401,S2,0,61,sensing
250,190,250,0.6853,0.18925,random,250,369,0.0,0.0027,S2,1,119,sensing
250,80,250,0.8496,0.05211,nsga2,250,314,0.4375,0.0454,S2,1,64,sensing
250,193,250,0.8401,0.14374,random,250,397,0.125,0.0027,S2,2,147,sensing
250,89,250,0.9776,0.02556,nsga2,250,301,0.6875,0.0443,S2,2,51,sensing
250,198,250,0.4943,0.16048,random,250,383,0.0625,0.0026,S2,3,133,sensing
250,107,250,0.8598,0.03497,nsga2,250,291,0.5,0.0354,S2,3,41,sensing
250,193,250,0.8504,0.12601,random,250,371,0.0625,0.0028,S2,4,121,sensing
250,86,250,0.0762,0.4531,nsga2,250,286,0.125,0.0465,S2,4,36,sensing
250,202,250,0.8322,0.09037,random,250,345,0.125,0.0025,S2,5,95,sensing
250,84,250,0.9499,0.02119,nsga2,250,326,0.75,0.0453,S2,5,76,sensing
250,197,250,0.8396,0.16315,random,250,371,0.0,0.0027,S2,6,121,sensing
250,99,250,0.7677,0.12988,nsga2,250,313,0.125,0.0428,S2,6,63,sensing
250,194,250,0.6943,0.09919,random,250,363,0.125,0.0027,S2,7,113,sensing
250,77,250,0.7903,0.05155,nsga2,250,296,0.4375,0.0449,S2,7,46,sensing
250,189,250,0.6867,0.12807,random,250,341,0.0625,0.0027,S2,8,91,sensing
